Photon Energy,Absorption
0.70,7.24
0.71,7.24
0.71,7.25
0.71,7.25
0.71,7.26
0.72,7.27
0.72,7.27
0.72,7.28
0.72,7.28
0.73,7.29
0.73,7.29
0.73,7.30
0.73,7.30
0.74,7.31
0.74,7.32
0.74,7.32
0.74,7.33
0.75,7.33
0.75,7.34
0.75,7.34
0.75,7.35
0.76,7.35
0.76,7.36
0.76,7.37
0.76,7.37
0.77,7.38
0.77,7.38
0.77,7.39
0.77,7.39
0.78,7.40
0.78,7.40
0.78,7.41
0.78,7.42
0.79,7.42
0.79,7.43
0.79,7.43
0.79,7.44
0.80,7.44
0.80,7.45
0.80,7.46
0.80,7.46
0.81,7.47
0.81,7.47
0.81,7.48
0.81,7.49
0.82,7.49
0.82,7.50
0.82,7.50
0.82,7.51
0.83,7.51
0.83,7.52
0.83,7.53
0.83,7.53
0.84,7.54
0.84,7.54
0.84,7.55
0.84,7.55
0.85,7.56
0.85,7.57
0.85,7.57
0.85,7.58
0.86,7.58
0.86,7.59
0.86,7.60
0.86,7.60
0.87,7.61
0.87,7.61
0.87,7.62
0.87,7.63
0.88,7.63
0.88,7.64
0.88,7.64
0.88,7.65
0.89,7.66
0.89,7.66
0.89,7.67
0.89,7.67
0.90,7.68
0.90,7.69
0.90,7.69
0.90,7.70
0.91,7.70
0.91,7.71
0.91,7.72
0.91,7.72
0.92,7.73
0.92,7.74
0.92,7.74
0.92,7.75
0.93,7.75
0.93,7.76
0.93,7.77
0.93,7.77
0.94,7.78
0.94,7.78
0.94,7.79
0.94,7.80
0.95,7.80
0.95,7.81
0.95,7.82
0.95,7.82
0.96,7.83
0.96,7.83
0.96,7.84
0.96,7.85
0.97,7.85
0.97,7.86
0.97,7.87
0.97,7.87
0.98,7.88
0.98,7.89
0.98,7.89
0.98,7.90
0.99,7.90
0.99,7.91
0.99,7.92
0.99,7.92
1.00,7.93
1.00,7.94
1.00,7.94
1.00,7.95
1.01,7.96
1.01,7.96
1.01,7.97
1.01,7.98
1.02,7.98
1.02,7.99
1.02,8.00
1.02,8.00
1.03,8.01
1.03,8.02
1.03,8.02
1.03,8.03
1.04,8.04
1.04,8.04
1.04,8.05
1.04,8.05
1.05,8.06
1.05,8.07
1.05,8.07
1.05,8.08
1.06,8.09
1.06,8.09
1.06,8.10
1.06,8.11
1.07,8.12
1.07,8.12
1.07,8.13
1.07,8.14
1.08,8.14
1.08,8.15
1.08,8.16
1.08,8.16
1.09,8.17
1.09,8.18
1.09,8.18
1.09,8.19
1.10,8.20
1.10,8.20
1.10,8.21
1.10,8.22
1.11,8.22
1.11,8.23
1.11,8.24
1.11,8.24
1.12,8.25
1.12,8.26
1.12,8.27
1.12,8.27
1.13,8.28
1.13,8.29
1.13,8.29
1.13,8.30
1.14,8.31
